filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
ca_median;salt_pepper;0_05;6;189,1084;15,9274;16,4965;80,2121;132,7455;221,4164;312,6262;270,7533;108,3583;108,1455;73,9764;171,6831;233,6501;254,1872
ca_median;salt_pepper;0_05;7;202,8581;16,8533;17,7095;87,8323;141,351;237,8007;333,6057;288,0069;116,3972;114,7989;77,9251;181,0244;249,333;270,4806
ca_median;salt_pepper;0_05;8;215,3826;17,7285;18,8753;94,6978;148,2599;248,6037;348,2879;301,1254;122,6356;119,9894;80,957;187,8172;261,0483;282,36
ca_median;salt_pepper;0_05;9;228,7632;18,6328;20,0857;101,6;156,1042;261,7871;364,7199;314,7941;129,5907;125,2148;84,0854;194,8836;273,4085;295,0685
ca_median;salt_pepper;0_05;10;241,0541;19,4054;21,2437;108,1176;162,6014;271,172;377,0664;325,8164;135,2672;129,5623;86,6171;200,4335;283,1404;305,087
ca_median;salt_pepper;0_25;1;1023,9851;163,0043;125,9444;223,75;832,2643;249,7076;321,2328;285,0049;154,216;144,6492;117,031;195,8603;237,1051;256,7411
ca_median;salt_pepper;0_25;2;303,727;47,836;43,3775;159,8259;256,1693;173,1299;236,6273;215,3474;96,7483;91,8973;70,9153;137,2946;179,1782;192,9762
ca_median;salt_pepper;0_25;3;230,4993;39,5799;42,3098;162,4989;195,0244;201,0016;275,0871;246,7191;107,5503;104,3622;77,8681;157,3401;207,4042;224,086
ca_median;salt_pepper;0_25;4;225,6165;38,0683;42,8533;167,9028;186,2592;211,9655;291,7902;264,3603;113,6984;110,7931;81,8692;167,1798;221,9757;238,9064
ca_median;salt_pepper;0_25;5;233,9145;38,3655;43,7628;174,589;191,2225;231,4345;317,4306;285,4235;122,3492;119,1476;86,8096;179,6571;241,7539;259,4638
ca_median;salt_pepper;0_25;6;243,5047;38,8431;44,7354;181,1581;196,03;243,5067;334,4964;300,8715;129,0002;125,2574;90,3707;188,2472;255,4873;273,545
ca_median;salt_pepper;0_25;7;254,9889;39,6219;45,7479;188,004;202,9059;258,5466;354,1883;316,7139;136,3608;131,4979;94,0851;197,1093;270,4408;288,8423
ca_median;salt_pepper;0_25;8;266,0199;40,2918;46,8239;194,6554;208,7381;269,1725;368,821;329,3588;142,4715;136,5736;97,0488;203,9767;281,8442;300,5352
ca_median;salt_pepper;0_25;9;278,1325;41,0664;47,8927;201,092;215,6907;281,3853;384,4399;342,2616;149,0175;141,5645;100,0393;210,803;293,7942;312,8338
ca_median;salt_pepper;0_25;10;289,592;41,756;49,0401;207,3686;222,0488;290,6021;396,8727;352,9389;154,6097;145,7632;102,4992;216,3014;303,2915;322,6621
ca_median;gaussian;0_5;1;292,3613;331,5346;286,8081;329,3916;315,5051;412,5491;453,334;412,9142;334,3595;337,4541;324,873;361,6103;389,0484;402,3545
ca_median;gaussian;0_5;2;220,6565;165,2819;166,3016;206,8514;224,8791;270,1617;317,1859;300,0894;199,1932;194,1735;177,8511;226,5649;267,5569;278,3473
ca_median;gaussian;0_5;3;214,768;117,8442;131,7104;179,1519;213,179;264,467;325,9522;301,6784;176,0889;168,3151;145,0886;213,1586;265,4059;279,9925
ca_median;gaussian;0_5;4;218,3988;96,6518;116,6897;171,5323;210,7934;260,4769;328,1601;305,4943;166,6532;156,5696;130,386;205,9994;266,0615;280,8979
ca_median;gaussian;0_5;5;227,9147;84,9148;108,5763;171,3303;214,6046;270,0348;344,9086;318,0333;166,1622;154,2745;124,612;209,0327;276,6966;292,6333
ca_median;gaussian;0_5;6;237,8245;77,4419;103,6497;173,8982;218,8191;276,3116;355,905;327,9666;167,1453;153,3914;121,3855;211,3514;284,9412;301,1452
ca_median;gaussian;0_5;7;249,496;72,4153;100,5401;177,7088;224,4992;286,442;370,8307;339,539;170,1199;154,4988;120,1356;215,6691;295,3093;311,9246
ca_median;gaussian;0_5;8;260,5026;68,782;98,5362;182,3343;229,7995;293,91;381,9726;349,1644;173,2346;155,8596;119,5324;219,1854;303,7216;320,5564
ca_median;gaussian;0_5;9;272,3243;66,1791;97,2313;187,2726;235,9265;303,1489;394,6488;359,2874;177,0981;157,7394;119,6159;223,2635;312,6346;329,871
ca_median;gaussian;0_5;10;283,7249;64,1664;96,3986;192,2243;241,4251;310,4218;404,7485;367,9646;180,8788;159,5348;119,9461;226,747;320,2685;337,6701
ca_median;gaussian;0_9;1;1336,3936;1678,8562;1643,5866;1736,2367;1428,778;1550,1915;1523,3777;1505,0763;1452,0228;1445,9989;1467,8119;1414,5071;1429,9006;1441,1813
ca_median;gaussian;0_9;2;884,3885;863,5194;997,2035;1051,7144;904,0925;844,429;862,3421;869,4341;761,6588;726,5324;720,4086;733,0219;765,3837;780,9546
ca_median;gaussian;0_9;3;771,9862;627,0112;809,926;864,7364;771,0036;675,1188;715,8936;717,8142;578,138;532,5676;513,0345;559,5964;607,6679;626,5392
