filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
median_filter;salt_pepper;0_25;5;0,8768;0,9497;0,9691;0,9006;0,7895;0,7876;0,6932;0,6626;0,7435;0,7103;0,7319;0,6217;0,6759;0,6566
median_filter;salt_pepper;0_25;6;0,8421;0,9278;0,9613;0,8547;0,7505;0,7408;0,6386;0,6007;0,6292;0,5524;0,5845;0,5425;0,5559;0,5601
median_filter;salt_pepper;0_25;7;0,8482;0,9239;0,9632;0,8424;0,7478;0,7197;0,614;0,5763;0,6153;0,5107;0,5553;0,5164;0,5155;0,5126
median_filter;salt_pepper;0_25;8;0,82;0,9107;0,9553;0,8019;0,7191;0,6853;0,5751;0,5354;0,5627;0,4626;0,5111;0,4781;0,4612;0,4568
median_filter;salt_pepper;0_25;9;0,822;0,9053;0,9559;0,7904;0,7174;0,6648;0,5509;0,5188;0,5467;0,4251;0,4896;0,4562;0,4299;0,4234
median_filter;salt_pepper;0_25;10;0,7984;0,8946;0,9489;0,7562;0,6962;0,6401;0,5228;0,4894;0,5041;0,3866;0,4615;0,4325;0,3914;0,383
median_filter;gaussian;0_5;1;0,2033;0,0552;0,0753;0,2106;0,2131;0,249;0,2902;0,2987;0,2434;0,1765;0,1482;0,2284;0,3107;0,3271
median_filter;gaussian;0_5;2;0,2482;0,1242;0,1321;0,2855;0,2597;0,3078;0,3327;0,3564;0,3384;0,2577;0,2312;0,285;0,3825;0,395
median_filter;gaussian;0_5;3;0,3665;0,2404;0,3239;0,4398;0,3743;0,4156;0,4358;0,4716;0,4594;0,3604;0,355;0,3891;0,4908;0,5053
median_filter;gaussian;0_5;4;0,3743;0,3494;0,4067;0,4966;0,3773;0,4554;0,4551;0,4657;0,4794;0,3742;0,3764;0,4041;0,48;0,4871
median_filter;gaussian;0_5;5;0,4609;0,4668;0,5475;0,5658;0,4409;0,5067;0,4885;0,4804;0,5086;0,3974;0,3929;0,4219;0,4851;0,4876
median_filter;gaussian;0_5;6;0,4458;0,551;0,6098;0,5836;0,4267;0,5293;0,4875;0,4686;0,4991;0,3843;0,3921;0,4262;0,4493;0,4413
median_filter;gaussian;0_5;7;0,4869;0,6218;0,6875;0,6148;0,4564;0,55;0,4859;0,4638;0,5002;0,3737;0,4007;0,4162;0,415;0,4201
median_filter;gaussian;0_5;8;0,4643;0,6629;0,7243;0,6105;0,4361;0,5529;0,4748;0,4506;0,4716;0,3512;0,3968;0,4014;0,378;0,3843
median_filter;gaussian;0_5;9;0,4813;0,6966;0,7648;0,6133;0,4455;0,5519;0,4667;0,439;0,4515;0,3298;0,3914;0,3839;0,3568;0,3622
median_filter;gaussian;0_5;10;0,4596;0,7221;0,7822;0,6038;0,427;0,5502;0,4537;0,4248;0,4225;0,3012;0,3821;0,3733;0,3324;0,334
median_filter;gaussian;0_9;1;0,0891;0,0146;0,0156;0,0786;0,0799;0,0893;0,1094;0,1068;0,0714;0,0483;0,0391;0,0693;0,1046;0,1062
median_filter;gaussian;0_9;2;0,1273;0,0331;0,028;0,1192;0,1158;0,1239;0,1441;0,1447;0,1131;0,074;0,0658;0,0999;0,1551;0,1533
median_filter;gaussian;0_9;3;0,192;0,0617;0,0973;0,21;0,1881;0,1927;0,2118;0,2255;0,2013;0,1345;0,1184;0,1606;0,2376;0,2385
median_filter;gaussian;0_9;4;0,2147;0,1027;0,1346;0,2485;0,2097;0,2232;0,2348;0,2419;0,2483;0,1752;0,1619;0,1945;0,2705;0,2662
